"from","to","distance_m"
"2.3 Yellow House","4.4 Above Walnut Landing",16766
"2.3 Yellow House","4.6 Walnut Landing Rd.",18080
"2.3 Yellow House","4.8 Red Bank",20117
"2.3 Yellow House","4.9 Marshyhope confluence",21974
"2.8 Marshyhope/Wright","2.8 Marshyhope/Wright",0
"2.8 Marshyhope/Wright","2.8 Wright",0
"2.8 Marshyhope/Wright","3.9 Pump House",1165
"2.8 Marshyhope/Wright","Marshyhope/Grey Cabin",2064
"2.8 Marshyhope/Wright","3 Marshyhope/Grey Cabin",2064
"2.8 Marshyhope/Wright","3 Palmer's Mill",2064
"2.8 Marshyhope/Wright","3.2 Marshyhope/Below 392 Bridge",4365
"2.8 Marshyhope/Wright","3.2 Below 392 Bridge",4365
"2.8 Marshyhope/Wright","3.4 Marshyhope/Puckums Branch",6853
"2.8 Marshyhope/Wright","3.4 Puckum's Branch",6853
"2.8 Marshyhope/Wright","3.6 Marshyhope/Below Puckum's Branch",9186
"2.8 Marshyhope/Wright","3.6 Below Puckum's Branch",9186
"2.8 Marshyhope/Wright","3.8 Marshyhope/Above Brookview Bridge",10997
"2.8 Marshyhope/Wright","3.8 Above Brookview Bridge",10997
"2.8 Marshyhope/Wright","Marshyhope/Brookview buoy",11488
"2.8 Marshyhope/Wright","4 Marshyhope/Brookview buoy",12297
"2.8 Marshyhope/Wright","4 Brookview buoy",12297
"2.8 Marshyhope/Wright","4.2 Below Brookview",13688
"2.8 Marshyhope/Wright","4.2 Marshyhope/Below Brookview",13688
"2.8 Marshyhope/Wright","4.4 Above Walnut Landing Rd.",14985
"2.8 Marshyhope/Wright","4.4 Marshyhope/Above Walnut Landing Rd.",14985
"2.8 Marshyhope/Wright","4.4 Above Walnut Landing",14985
"2.8 Marshyhope/Wright","4.6 Walnut Landing Rd.",16299
"2.8 Marshyhope/Wright","4.8 Red Bank",18336
"2.8 Marshyhope/Wright","4.9 Marshyhope confluence",20194
"2.8 Wright","2.8 Wright",0
"2.8 Wright","3.9 Pump House",1165
"2.8 Wright","Marshyhope/Grey Cabin",2064
"2.8 Wright","3 Marshyhope/Grey Cabin",2064
"2.8 Wright","3 Palmer's Mill",2064
"2.8 Wright","3.2 Marshyhope/Below 392 Bridge",4365
"2.8 Wright","3.2 Below 392 Bridge",4365
"2.8 Wright","3.4 Marshyhope/Puckums Branch",6853
"2.8 Wright","3.4 Puckum's Branch",6853
"2.8 Wright","3.6 Marshyhope/Below Puckum's Branch",9186
"2.8 Wright","3.6 Below Puckum's Branch",9186
"2.8 Wright","3.8 Marshyhope/Above Brookview Bridge",10997
"2.8 Wright","3.8 Above Brookview Bridge",10997
"2.8 Wright","Marshyhope/Brookview buoy",11488
"2.8 Wright","4 Marshyhope/Brookview buoy",12297
"2.8 Wright","4 Brookview buoy",12297
"2.8 Wright","4.2 Below Brookview",13688
"2.8 Wright","4.2 Marshyhope/Below Brookview",13688
"2.8 Wright","4.4 Above Walnut Landing Rd.",14985
"2.8 Wright","4.4 Marshyhope/Above Walnut Landing Rd.",14985
"2.8 Wright","4.4 Above Walnut Landing",14985
"2.8 Wright","4.6 Walnut Landing Rd.",16299
"2.8 Wright","4.8 Red Bank",18336
"2.8 Wright","4.9 Marshyhope confluence",20194
"3.9 Pump House","3.9 Pump House",0
"3.9 Pump House","Marshyhope/Grey Cabin",899
"3.9 Pump House","3 Marshyhope/Grey Cabin",899
"3.9 Pump House","3 Palmer's Mill",899
"3.9 Pump House","3.2 Marshyhope/Below 392 Bridge",3200
"3.9 Pump House","3.2 Below 392 Bridge",3200
"3.9 Pump House","3.4 Marshyhope/Puckums Branch",5688
"3.9 Pump House","3.4 Puckum's Branch",5688
"3.9 Pump House","3.6 Marshyhope/Below Puckum's Branch",8021
"3.9 Pump House","3.6 Below Puckum's Branch",8021
"3.9 Pump House","3.8 Marshyhope/Above Brookview Bridge",9832
"3.9 Pump House","3.8 Above Brookview Bridge",9832
"3.9 Pump House","Marshyhope/Brookview buoy",10323
"3.9 Pump House","4 Marshyhope/Brookview buoy",11132
"3.9 Pump House","4 Brookview buoy",11132
"3.9 Pump House","4.2 Below Brookview",12523
"3.9 Pump House","4.2 Marshyhope/Below Brookview",12523
"3.9 Pump House","4.4 Above Walnut Landing Rd.",13820
"3.9 Pump House","4.4 Marshyhope/Above Walnut Landing Rd.",13820
"3.9 Pump House","4.4 Above Walnut Landing",13820
"3.9 Pump House","4.6 Walnut Landing Rd.",15134
"3.9 Pump House","4.8 Red Bank",17171
"3.9 Pump House","4.9 Marshyhope confluence",19029
"Marshyhope/Grey Cabin","Marshyhope/Grey Cabin",0
"Marshyhope/Grey Cabin","3 Marshyhope/Grey Cabin",0
"Marshyhope/Grey Cabin","3 Palmer's Mill",0
"Marshyhope/Grey Cabin","3.2 Marshyhope/Below 392 Bridge",2301
"Marshyhope/Grey Cabin","3.2 Below 392 Bridge",2301
"Marshyhope/Grey Cabin","3.4 Marshyhope/Puckums Branch",4789
"Marshyhope/Grey Cabin","3.4 Puckum's Branch",4789
"Marshyhope/Grey Cabin","3.6 Marshyhope/Below Puckum's Branch",7123
"Marshyhope/Grey Cabin","3.6 Below Puckum's Branch",7123
"Marshyhope/Grey Cabin","3.8 Marshyhope/Above Brookview Bridge",8934
"Marshyhope/Grey Cabin","3.8 Above Brookview Bridge",8934
"Marshyhope/Grey Cabin","Marshyhope/Brookview buoy",9424
"Marshyhope/Grey Cabin","4 Marshyhope/Brookview buoy",10233
"Marshyhope/Grey Cabin","4 Brookview buoy",10233
"Marshyhope/Grey Cabin","4.2 Below Brookview",11624
"Marshyhope/Grey Cabin","4.2 Marshyhope/Below Brookview",11624
"Marshyhope/Grey Cabin","4.4 Above Walnut Landing Rd.",12921
"Marshyhope/Grey Cabin","4.4 Marshyhope/Above Walnut Landing Rd.",12921
"Marshyhope/Grey Cabin","4.4 Above Walnut Landing",12921
"Marshyhope/Grey Cabin","4.6 Walnut Landing Rd.",14236
"Marshyhope/Grey Cabin","4.8 Red Bank",16272
"Marshyhope/Grey Cabin","4.9 Marshyhope confluence",18130
"3 Marshyhope/Grey Cabin","3 Marshyhope/Grey Cabin",0
"3 Marshyhope/Grey Cabin","3 Palmer's Mill",0
"3 Marshyhope/Grey Cabin","3.2 Marshyhope/Below 392 Bridge",2301
"3 Marshyhope/Grey Cabin","3.2 Below 392 Bridge",2301
"3 Marshyhope/Grey Cabin","3.4 Marshyhope/Puckums Branch",4789
"3 Marshyhope/Grey Cabin","3.4 Puckum's Branch",4789
"3 Marshyhope/Grey Cabin","3.6 Marshyhope/Below Puckum's Branch",7123
"3 Marshyhope/Grey Cabin","3.6 Below Puckum's Branch",7123
"3 Marshyhope/Grey Cabin","3.8 Marshyhope/Above Brookview Bridge",8934
"3 Marshyhope/Grey Cabin","3.8 Above Brookview Bridge",8934
"3 Marshyhope/Grey Cabin","Marshyhope/Brookview buoy",9424
"3 Marshyhope/Grey Cabin","4 Marshyhope/Brookview buoy",10233
"3 Marshyhope/Grey Cabin","4 Brookview buoy",10233
"3 Marshyhope/Grey Cabin","4.2 Below Brookview",11624
"3 Marshyhope/Grey Cabin","4.2 Marshyhope/Below Brookview",11624
"3 Marshyhope/Grey Cabin","4.4 Above Walnut Landing Rd.",12921
"3 Marshyhope/Grey Cabin","4.4 Marshyhope/Above Walnut Landing Rd.",12921
"3 Marshyhope/Grey Cabin","4.4 Above Walnut Landing",12921
"3 Marshyhope/Grey Cabin","4.6 Walnut Landing Rd.",14236
"3 Marshyhope/Grey Cabin","4.8 Red Bank",16272
"3 Marshyhope/Grey Cabin","4.9 Marshyhope confluence",18130
"3 Palmer's Mill","3 Palmer's Mill",0
"3 Palmer's Mill","3.2 Marshyhope/Below 392 Bridge",2301
"3 Palmer's Mill","3.2 Below 392 Bridge",2301
"3 Palmer's Mill","3.4 Marshyhope/Puckums Branch",4789
"3 Palmer's Mill","3.4 Puckum's Branch",4789
"3 Palmer's Mill","3.6 Marshyhope/Below Puckum's Branch",7123
"3 Palmer's Mill","3.6 Below Puckum's Branch",7123
"3 Palmer's Mill","3.8 Marshyhope/Above Brookview Bridge",8934
"3 Palmer's Mill","3.8 Above Brookview Bridge",8934
"3 Palmer's Mill","Marshyhope/Brookview buoy",9424
"3 Palmer's Mill","4 Marshyhope/Brookview buoy",10233
"3 Palmer's Mill","4 Brookview buoy",10233
"3 Palmer's Mill","4.2 Below Brookview",11624
"3 Palmer's Mill","4.2 Marshyhope/Below Brookview",11624
"3 Palmer's Mill","4.4 Above Walnut Landing Rd.",12921
"3 Palmer's Mill","4.4 Marshyhope/Above Walnut Landing Rd.",12921
"3 Palmer's Mill","4.4 Above Walnut Landing",12921
"3 Palmer's Mill","4.6 Walnut Landing Rd.",14236
"3 Palmer's Mill","4.8 Red Bank",16272
"3 Palmer's Mill","4.9 Marshyhope confluence",18130
"3.2 Marshyhope/Below 392 Bridge","3.2 Marshyhope/Below 392 Bridge",0
"3.2 Marshyhope/Below 392 Bridge","3.2 Below 392 Bridge",0
"3.2 Marshyhope/Below 392 Bridge","3.4 Marshyhope/Puckums Branch",2488
"3.2 Marshyhope/Below 392 Bridge","3.4 Puckum's Branch",2488
"3.2 Marshyhope/Below 392 Bridge","3.6 Marshyhope/Below Puckum's Branch",4821
"3.2 Marshyhope/Below 392 Bridge","3.6 Below Puckum's Branch",4821
"3.2 Marshyhope/Below 392 Bridge","3.8 Marshyhope/Above Brookview Bridge",6633
"3.2 Marshyhope/Below 392 Bridge","3.8 Above Brookview Bridge",6633
"3.2 Marshyhope/Below 392 Bridge","Marshyhope/Brookview buoy",7123
"3.2 Marshyhope/Below 392 Bridge","4 Marshyhope/Brookview buoy",7932
"3.2 Marshyhope/Below 392 Bridge","4 Brookview buoy",7932
"3.2 Marshyhope/Below 392 Bridge","4.2 Below Brookview",9323
"3.2 Marshyhope/Below 392 Bridge","4.2 Marshyhope/Below Brookview",9323
"3.2 Marshyhope/Below 392 Bridge","4.4 Above Walnut Landing Rd.",10620
"3.2 Marshyhope/Below 392 Bridge","4.4 Marshyhope/Above Walnut Landing Rd.",10620
"3.2 Marshyhope/Below 392 Bridge","4.4 Above Walnut Landing",10620
"3.2 Marshyhope/Below 392 Bridge","4.6 Walnut Landing Rd.",11934
"3.2 Marshyhope/Below 392 Bridge","4.8 Red Bank",13971
"3.2 Marshyhope/Below 392 Bridge","4.9 Marshyhope confluence",15829
"3.2 Below 392 Bridge","3.2 Below 392 Bridge",0
"3.2 Below 392 Bridge","3.4 Marshyhope/Puckums Branch",2488
"3.2 Below 392 Bridge","3.4 Puckum's Branch",2488
"3.2 Below 392 Bridge","3.6 Marshyhope/Below Puckum's Branch",4821
"3.2 Below 392 Bridge","3.6 Below Puckum's Branch",4821
"3.2 Below 392 Bridge","3.8 Marshyhope/Above Brookview Bridge",6633
"3.2 Below 392 Bridge","3.8 Above Brookview Bridge",6633
"3.2 Below 392 Bridge","Marshyhope/Brookview buoy",7123
"3.2 Below 392 Bridge","4 Marshyhope/Brookview buoy",7932
"3.2 Below 392 Bridge","4 Brookview buoy",7932
"3.2 Below 392 Bridge","4.2 Below Brookview",9323
"3.2 Below 392 Bridge","4.2 Marshyhope/Below Brookview",9323
"3.2 Below 392 Bridge","4.4 Above Walnut Landing Rd.",10620
"3.2 Below 392 Bridge","4.4 Marshyhope/Above Walnut Landing Rd.",10620
"3.2 Below 392 Bridge","4.4 Above Walnut Landing",10620
"3.2 Below 392 Bridge","4.6 Walnut Landing Rd.",11934
"3.2 Below 392 Bridge","4.8 Red Bank",13971
"3.2 Below 392 Bridge","4.9 Marshyhope confluence",15829
"3.4 Marshyhope/Puckums Branch","3.4 Marshyhope/Puckums Branch",0
"3.4 Marshyhope/Puckums Branch","3.4 Puckum's Branch",0
"3.4 Marshyhope/Puckums Branch","3.6 Marshyhope/Below Puckum's Branch",2333
"3.4 Marshyhope/Puckums Branch","3.6 Below Puckum's Branch",2333
"3.4 Marshyhope/Puckums Branch","3.8 Marshyhope/Above Brookview Bridge",4144
"3.4 Marshyhope/Puckums Branch","3.8 Above Brookview Bridge",4144
"3.4 Marshyhope/Puckums Branch","Marshyhope/Brookview buoy",4635
"3.4 Marshyhope/Puckums Branch","4 Marshyhope/Brookview buoy",5444
"3.4 Marshyhope/Puckums Branch","4 Brookview buoy",5444
"3.4 Marshyhope/Puckums Branch","4.2 Below Brookview",6835
"3.4 Marshyhope/Puckums Branch","4.2 Marshyhope/Below Brookview",6835
"3.4 Marshyhope/Puckums Branch","4.4 Above Walnut Landing Rd.",8132
"3.4 Marshyhope/Puckums Branch","4.4 Marshyhope/Above Walnut Landing Rd.",8132
"3.4 Marshyhope/Puckums Branch","4.4 Above Walnut Landing",8132
"3.4 Marshyhope/Puckums Branch","4.6 Walnut Landing Rd.",9446
"3.4 Marshyhope/Puckums Branch","4.8 Red Bank",11483
"3.4 Marshyhope/Puckums Branch","4.9 Marshyhope confluence",13341
"3.4 Puckum's Branch","3.4 Puckum's Branch",0
"3.4 Puckum's Branch","3.6 Marshyhope/Below Puckum's Branch",2333
"3.4 Puckum's Branch","3.6 Below Puckum's Branch",2333
"3.4 Puckum's Branch","3.8 Marshyhope/Above Brookview Bridge",4144
"3.4 Puckum's Branch","3.8 Above Brookview Bridge",4144
"3.4 Puckum's Branch","Marshyhope/Brookview buoy",4635
"3.4 Puckum's Branch","4 Marshyhope/Brookview buoy",5444
"3.4 Puckum's Branch","4 Brookview buoy",5444
"3.4 Puckum's Branch","4.2 Below Brookview",6835
"3.4 Puckum's Branch","4.2 Marshyhope/Below Brookview",6835
"3.4 Puckum's Branch","4.4 Above Walnut Landing Rd.",8132
"3.4 Puckum's Branch","4.4 Marshyhope/Above Walnut Landing Rd.",8132
"3.4 Puckum's Branch","4.4 Above Walnut Landing",8132
"3.4 Puckum's Branch","4.6 Walnut Landing Rd.",9446
"3.4 Puckum's Branch","4.8 Red Bank",11483
"3.4 Puckum's Branch","4.9 Marshyhope confluence",13341
"3.6 Marshyhope/Below Puckum's Branch","3.6 Marshyhope/Below Puckum's Branch",0
"3.6 Marshyhope/Below Puckum's Branch","3.6 Below Puckum's Branch",0
"3.6 Marshyhope/Below Puckum's Branch","3.8 Marshyhope/Above Brookview Bridge",1811
"3.6 Marshyhope/Below Puckum's Branch","3.8 Above Brookview Bridge",1811
"3.6 Marshyhope/Below Puckum's Branch","Marshyhope/Brookview buoy",2302
"3.6 Marshyhope/Below Puckum's Branch","4 Marshyhope/Brookview buoy",3111
"3.6 Marshyhope/Below Puckum's Branch","4 Brookview buoy",3111
"3.6 Marshyhope/Below Puckum's Branch","4.2 Below Brookview",4502
"3.6 Marshyhope/Below Puckum's Branch","4.2 Marshyhope/Below Brookview",4502
"3.6 Marshyhope/Below Puckum's Branch","4.4 Above Walnut Landing Rd.",5799
"3.6 Marshyhope/Below Puckum's Branch","4.4 Marshyhope/Above Walnut Landing Rd.",5799
"3.6 Marshyhope/Below Puckum's Branch","4.4 Above Walnut Landing",5799
"3.6 Marshyhope/Below Puckum's Branch","4.6 Walnut Landing Rd.",7113
"3.6 Marshyhope/Below Puckum's Branch","4.8 Red Bank",9150
"3.6 Marshyhope/Below Puckum's Branch","4.9 Marshyhope confluence",11007
"3.6 Below Puckum's Branch","3.6 Below Puckum's Branch",0
"3.6 Below Puckum's Branch","3.8 Marshyhope/Above Brookview Bridge",1811
"3.6 Below Puckum's Branch","3.8 Above Brookview Bridge",1811
"3.6 Below Puckum's Branch","Marshyhope/Brookview buoy",2302
"3.6 Below Puckum's Branch","4 Marshyhope/Brookview buoy",3111
"3.6 Below Puckum's Branch","4 Brookview buoy",3111
"3.6 Below Puckum's Branch","4.2 Below Brookview",4502
"3.6 Below Puckum's Branch","4.2 Marshyhope/Below Brookview",4502
"3.6 Below Puckum's Branch","4.4 Above Walnut Landing Rd.",5799
"3.6 Below Puckum's Branch","4.4 Marshyhope/Above Walnut Landing Rd.",5799
"3.6 Below Puckum's Branch","4.4 Above Walnut Landing",5799
"3.6 Below Puckum's Branch","4.6 Walnut Landing Rd.",7113
"3.6 Below Puckum's Branch","4.8 Red Bank",9150
"3.6 Below Puckum's Branch","4.9 Marshyhope confluence",11007
"3.8 Marshyhope/Above Brookview Bridge","3.8 Marshyhope/Above Brookview Bridge",0
"3.8 Marshyhope/Above Brookview Bridge","3.8 Above Brookview Bridge",0
"3.8 Marshyhope/Above Brookview Bridge","Marshyhope/Brookview buoy",491
"3.8 Marshyhope/Above Brookview Bridge","4 Marshyhope/Brookview buoy",1300
"3.8 Marshyhope/Above Brookview Bridge","4 Brookview buoy",1300
"3.8 Marshyhope/Above Brookview Bridge","4.2 Below Brookview",2690
"3.8 Marshyhope/Above Brookview Bridge","4.2 Marshyhope/Below Brookview",2690
"3.8 Marshyhope/Above Brookview Bridge","4.4 Above Walnut Landing Rd.",3988
"3.8 Marshyhope/Above Brookview Bridge","4.4 Marshyhope/Above Walnut Landing Rd.",3988
"3.8 Marshyhope/Above Brookview Bridge","4.4 Above Walnut Landing",3988
"3.8 Marshyhope/Above Brookview Bridge","4.6 Walnut Landing Rd.",5302
"3.8 Marshyhope/Above Brookview Bridge","4.8 Red Bank",7339
"3.8 Marshyhope/Above Brookview Bridge","4.9 Marshyhope confluence",9196
"3.8 Above Brookview Bridge","3.8 Above Brookview Bridge",0
"3.8 Above Brookview Bridge","Marshyhope/Brookview buoy",491
"3.8 Above Brookview Bridge","4 Marshyhope/Brookview buoy",1300
"3.8 Above Brookview Bridge","4 Brookview buoy",1300
"3.8 Above Brookview Bridge","4.2 Below Brookview",2690
"3.8 Above Brookview Bridge","4.2 Marshyhope/Below Brookview",2690
"3.8 Above Brookview Bridge","4.4 Above Walnut Landing Rd.",3988
"3.8 Above Brookview Bridge","4.4 Marshyhope/Above Walnut Landing Rd.",3988
"3.8 Above Brookview Bridge","4.4 Above Walnut Landing",3988
"3.8 Above Brookview Bridge","4.6 Walnut Landing Rd.",5302
"3.8 Above Brookview Bridge","4.8 Red Bank",7339
"3.8 Above Brookview Bridge","4.9 Marshyhope confluence",9196
"Marshyhope/Brookview buoy","Marshyhope/Brookview buoy",0
"Marshyhope/Brookview buoy","4 Marshyhope/Brookview buoy",809
"Marshyhope/Brookview buoy","4 Brookview buoy",809
"Marshyhope/Brookview buoy","4.2 Below Brookview",2200
"Marshyhope/Brookview buoy","4.2 Marshyhope/Below Brookview",2200
"Marshyhope/Brookview buoy","4.4 Above Walnut Landing Rd.",3497
"Marshyhope/Brookview buoy","4.4 Marshyhope/Above Walnut Landing Rd.",3497
"Marshyhope/Brookview buoy","4.4 Above Walnut Landing",3497
"Marshyhope/Brookview buoy","4.6 Walnut Landing Rd.",4811
"Marshyhope/Brookview buoy","4.8 Red Bank",6848
"Marshyhope/Brookview buoy","4.9 Marshyhope confluence",8706
"4 Marshyhope/Brookview buoy","4 Marshyhope/Brookview buoy",0
"4 Marshyhope/Brookview buoy","4 Brookview buoy",0
"4 Marshyhope/Brookview buoy","4.2 Below Brookview",1391
"4 Marshyhope/Brookview buoy","4.2 Marshyhope/Below Brookview",1391
"4 Marshyhope/Brookview buoy","4.4 Above Walnut Landing Rd.",2688
"4 Marshyhope/Brookview buoy","4.4 Marshyhope/Above Walnut Landing Rd.",2688
"4 Marshyhope/Brookview buoy","4.4 Above Walnut Landing",2688
"4 Marshyhope/Brookview buoy","4.6 Walnut Landing Rd.",4002
"4 Marshyhope/Brookview buoy","4.8 Red Bank",6039
"4 Marshyhope/Brookview buoy","4.9 Marshyhope confluence",7897
"4 Brookview buoy","4 Brookview buoy",0
"4 Brookview buoy","4.2 Below Brookview",1391
"4 Brookview buoy","4.2 Marshyhope/Below Brookview",1391
"4 Brookview buoy","4.4 Above Walnut Landing Rd.",2688
"4 Brookview buoy","4.4 Marshyhope/Above Walnut Landing Rd.",2688
"4 Brookview buoy","4.4 Above Walnut Landing",2688
"4 Brookview buoy","4.6 Walnut Landing Rd.",4002
"4 Brookview buoy","4.8 Red Bank",6039
"4 Brookview buoy","4.9 Marshyhope confluence",7897
"4.2 Below Brookview","4.2 Below Brookview",0
"4.2 Below Brookview","4.2 Marshyhope/Below Brookview",0
"4.2 Below Brookview","4.4 Above Walnut Landing Rd.",1297
"4.2 Below Brookview","4.4 Marshyhope/Above Walnut Landing Rd.",1297
"4.2 Below Brookview","4.4 Above Walnut Landing",1297
"4.2 Below Brookview","4.6 Walnut Landing Rd.",2612
"4.2 Below Brookview","4.8 Red Bank",4648
"4.2 Below Brookview","4.9 Marshyhope confluence",6506
"4.2 Marshyhope/Below Brookview","4.2 Marshyhope/Below Brookview",0
"4.2 Marshyhope/Below Brookview","4.4 Above Walnut Landing Rd.",1297
"4.2 Marshyhope/Below Brookview","4.4 Marshyhope/Above Walnut Landing Rd.",1297
"4.2 Marshyhope/Below Brookview","4.4 Above Walnut Landing",1297
"4.2 Marshyhope/Below Brookview","4.6 Walnut Landing Rd.",2612
"4.2 Marshyhope/Below Brookview","4.8 Red Bank",4648
"4.2 Marshyhope/Below Brookview","4.9 Marshyhope confluence",6506
"4.4 Above Walnut Landing Rd.","4.4 Above Walnut Landing Rd.",0
"4.4 Above Walnut Landing Rd.","4.4 Marshyhope/Above Walnut Landing Rd.",0
"4.4 Above Walnut Landing Rd.","4.4 Above Walnut Landing",0
"4.4 Above Walnut Landing Rd.","4.6 Walnut Landing Rd.",1314
"4.4 Above Walnut Landing Rd.","4.8 Red Bank",3351
"4.4 Above Walnut Landing Rd.","4.9 Marshyhope confluence",5209
"4.4 Marshyhope/Above Walnut Landing Rd.","4.4 Marshyhope/Above Walnut Landing Rd.",0
"4.4 Marshyhope/Above Walnut Landing Rd.","4.4 Above Walnut Landing",0
"4.4 Marshyhope/Above Walnut Landing Rd.","4.6 Walnut Landing Rd.",1314
"4.4 Marshyhope/Above Walnut Landing Rd.","4.8 Red Bank",3351
"4.4 Marshyhope/Above Walnut Landing Rd.","4.9 Marshyhope confluence",5209
"4.4 Above Walnut Landing","4.4 Above Walnut Landing",0
"4.4 Above Walnut Landing","4.6 Walnut Landing Rd.",1314
"4.4 Above Walnut Landing","4.8 Red Bank",3351
"4.4 Above Walnut Landing","4.9 Marshyhope confluence",5209
"4.6 Walnut Landing Rd.","4.6 Walnut Landing Rd.",0
"4.6 Walnut Landing Rd.","4.8 Red Bank",2037
"4.6 Walnut Landing Rd.","4.9 Marshyhope confluence",3894
"4.8 Red Bank","4.8 Red Bank",0
"4.8 Red Bank","4.9 Marshyhope confluence",1858
"4.9 Marshyhope confluence","4.9 Marshyhope confluence",0
