"body","rkm","lat","long"
"Broad Creek",0,38.5695036720801,-75.676219993
"Broad Creek",1,38.5662505980034,-75.6736816202826
"Broad Creek",2,38.569197712011,-75.668017449071
"Broad Creek",3,38.5709064878201,-75.6577494519227
"Broad Creek",4,38.569594698591,-75.648504195753
"Broad Creek",5,38.5702880167376,-75.6407619882646
"Broad Creek",6,38.5687091105949,-75.6302490100933
"Broad Creek",7,38.5638449665658,-75.6276727687658
"Broad Creek",8,38.5680707217638,-75.6201093998753
"Broad Creek",9,38.5637665455963,-75.6115219131949
"Broad Creek",10,38.5645530293043,-75.6020334402077
"Broad Creek",11,38.5625362933191,-75.592542994481
"Broad Creek",12,38.5587064165967,-75.5828340071802
"Broad Creek",13,38.5588608407916,-75.5726268206283
"Deep Creek",0,38.6440024720796,-75.589462926
"Deep Creek",1,38.6463743933364,-75.586197448083
"Deep Creek",2,38.6439311741475,-75.5791714319704
"Deep Creek",3,38.6422388847189,-75.5704252411477
"Deep Creek",4,38.6433135353206,-75.5623362007095
"Deep Creek",5,38.6424177023969,-75.553333011725
"Deep Creek",6,38.6435697585572,-75.5444106797227
"Deep Creek",7,38.6462531648602,-75.5359647797328
"Marshyhope Creek",0,38.5255386060805,-75.754297526
"Marshyhope Creek",1,38.5274711814834,-75.7589927644454
"Marshyhope Creek",2,38.5334424688985,-75.7651823062222
"Marshyhope Creek",3,38.5374143336168,-75.7567373130772
"Marshyhope Creek",4,38.5446806828615,-75.7631783897936
"Marshyhope Creek",5,38.5482275746665,-75.7728233478732
"Marshyhope Creek",6,38.555231185813,-75.7706786936446
"Marshyhope Creek",7,38.5612297628085,-75.770093148233
"Marshyhope Creek",8,38.5663130313612,-75.7786626003995
"Marshyhope Creek",9,38.5740896572129,-75.7818375586716
"Marshyhope Creek",10,38.5752448090985,-75.7922803886532
"Marshyhope Creek",11,38.5828876862194,-75.7959353465401
"Marshyhope Creek",12,38.5898276941732,-75.8018272622792
"Marshyhope Creek",13,38.5939960107347,-75.8111266507797
"Marshyhope Creek",14,38.6009833987279,-75.8172194643596
"Marshyhope Creek",15,38.6064799134616,-75.8227410003069
"Marshyhope Creek",16,38.6150869677811,-75.8232770316354
"Marshyhope Creek",17,38.6229991886763,-75.8189427022965
"Marshyhope Creek",18,38.6314383566305,-75.8185823762627
"Marshyhope Creek",19,38.6376325096317,-75.8115509155775
"Marshyhope Creek",20,38.6458761864479,-75.8117189913845
"Marshyhope Creek",21,38.6515323328508,-75.808348768261
"Marshyhope Creek",22,38.6568401597038,-75.8013453407649
"Marshyhope Creek",23,38.660057148857,-75.7932274383517
"Marshyhope Creek",24,38.6609981557783,-75.782852625402
"Marshyhope Creek",25,38.6690130029632,-75.778932774914
"Marshyhope Creek",26,38.6750888787418,-75.7734741874462
"Marshyhope Creek",27,38.6834279640146,-75.7715338015699
"Marshyhope Creek",28,38.69154832185,-75.7713909814523
"Nanticoke River",0,38.2357544730826,-75.924514726
"Nanticoke River",1,38.2401207426405,-75.9234683211003
"Nanticoke River",2,38.2480259100212,-75.9268106853957
"Nanticoke River",3,38.2552252806886,-75.9311891397596
"Nanticoke River",4,38.2635697459113,-75.9315027009192
"Nanticoke River",5,38.2717284815755,-75.9270708518041
"Nanticoke River",6,38.2797535082512,-75.9225535733341
"Nanticoke River",7,38.2883349089577,-75.9221686618068
"Nanticoke River",8,38.2969208084927,-75.921954205444
"Nanticoke River",9,38.3048162476616,-75.9174257131617
"Nanticoke River",10,38.3121635486928,-75.9114485869411
"Nanticoke River",11,38.3187037847387,-75.9040975505306
"Nanticoke River",12,38.3266846845965,-75.8997499182687
"Nanticoke River",13,38.3351926948145,-75.8965686640082
"Nanticoke River",14,38.3403819799751,-75.8874274232472
"Nanticoke River",15,38.3457983269431,-75.8784737602595
"Nanticoke River",16,38.3506354341973,-75.8688994371132
"Nanticoke River",17,38.3559291631046,-75.8598347248643
"Nanticoke River",18,38.3646222160546,-75.8577448964057
"Nanticoke River",19,38.372040033809,-75.8639715476441
"Nanticoke River",20,38.3797698674914,-75.8646310879414
"Nanticoke River",21,38.3851934460531,-75.8559232444344
"Nanticoke River",22,38.3840627992103,-75.8447369656047
"Nanticoke River",23,38.3894145722297,-75.8394204277058
"Nanticoke River",24,38.3967616159649,-75.845908918033
"Nanticoke River",25,38.4041905649955,-75.8507789064299
"Nanticoke River",26,38.41277094915,-75.8477461337727
"Nanticoke River",27,38.4215578049123,-75.8458800818053
"Nanticoke River",28,38.4232106633769,-75.8351069762576
"Nanticoke River",29,38.4257486728644,-75.8247672148007
"Nanticoke River",30,38.4338046486313,-75.8201030367505
"Nanticoke River",31,38.4415417969399,-75.8239870499262
"Nanticoke River",32,38.4437760316869,-75.8347682302161
"Nanticoke River",33,38.4522188496453,-75.8354090553418
"Nanticoke River",34,38.4591699698667,-75.8294854279214
"Nanticoke River",35,38.4613943851887,-75.8186602386126
"Nanticoke River",36,38.46925916988,-75.8150624493708
"Nanticoke River",37,38.4761815949082,-75.8222041894521
"Nanticoke River",38,38.483633052341,-75.8210142341595
"Nanticoke River",39,38.4893679394295,-75.812665539696
"Nanticoke River",40,38.4904042144488,-75.8015450727589
"Nanticoke River",41,38.4942734691412,-75.7915786948573
"Nanticoke River",42,38.5007168528755,-75.7837108631242
"Nanticoke River",43,38.5041652775636,-75.7734327773821
"Nanticoke River",44,38.5072284678352,-75.7629678619181
"Nanticoke River",45,38.5141980923801,-75.7561176429836
"Nanticoke River",46,38.5226447450487,-75.7542477174677
"Nanticoke River",47,38.5308142441457,-75.7515558651822
"Nanticoke River",48,38.5377824432166,-75.7448382607379
"Nanticoke River",49,38.5375779424111,-75.7336078909895
"Nanticoke River",50,38.5418273855389,-75.7237372372203
"Nanticoke River",51,38.5481140923522,-75.7157385795608
"Nanticoke River",52,38.5553775936902,-75.7095763596479
"Nanticoke River",53,38.5607695903252,-75.7022509000956
"Nanticoke River",54,38.5573486594596,-75.6924896826355
"Nanticoke River",55,38.5636366620603,-75.684673774717
"Nanticoke River",56,38.5694568963997,-75.6763144480264
"Nanticoke River",57,38.576666068295,-75.6699057481525
"Nanticoke River",58,38.5854541505057,-75.669840127926
"Nanticoke River",59,38.5899324772835,-75.6618925842921
"Nanticoke River",60,38.5979880944713,-75.6574511109743
"Nanticoke River",61,38.6053740164658,-75.6514808360664
"Nanticoke River",62,38.611026263762,-75.6437406667015
"Nanticoke River",63,38.6162426132569,-75.6352816350502
"Nanticoke River",64,38.6216678290431,-75.6263505356215
"Nanticoke River",65,38.6291187654784,-75.6215057428883
"Nanticoke River",66,38.6359975890017,-75.6148833112366
"Nanticoke River",67,38.6402146298095,-75.6058927573016
"Nanticoke River",68,38.6394314217987,-75.5964922058241
"Nanticoke River",69,38.6439984940163,-75.589475784942
"Nanticoke River",70,38.649265882502,-75.5869616340141
"Nanticoke River",71,38.6484840056643,-75.577408473683
"Nanticoke River",72,38.655360860709,-75.5761026252451
"Nanticoke River",73,38.6593976337417,-75.5713863897308
"Nanticoke River",74,38.6631095412767,-75.5650632538989
"Nanticoke River",75,38.6690025432474,-75.5605621389444
"Nanticoke River",76,38.6764973353725,-75.5578839652397
"Nanticoke River",77,38.6827262944518,-75.5560970709696
"Nanticoke River",78,38.689198069656,-75.5567429725344
"Nanticoke River",79,38.6957102928426,-75.556186584155
"Nanticoke River",80,38.7003386115173,-75.5558997531778
"Nanticoke River",81,38.707912091171,-75.5583465668036
